"11015","0000-00-00 00:00:00","0000-00-00",,,"dec25($year)","ian6($year+1)","There are no weddings.","There are no weddings.","th","the","There are no weddings.",,,,"0",,"0",,"0","Есть не свадьбах.","dec25($year)",,"0","Nu se fac nunţi.",,"0","Δεν υπάρχουν γάμοι."
"11014","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)","easter_date($year)+7","There are no weddings.","There are no weddings.","th","the","There are no weddings.",,,,"0",,"0",,"0","Есть не свадьбах.","easter_date($year)",,"0","Nu se fac nunţi.",,"0","Δεν υπάρχουν γάμοι."
"11012","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+50","easter_date($year)+57","Fast-free.","Fast-free.","fa","fas","Fast-free.",,,,"0",,"0",,"0","Нет поста.","easter_date($year)+50",,"0","Se mănâncă de dulce.",,"0","δεν νηστεία"
"11013","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)-56","easter_date($year)-49","There are no weddings.","There are no weddings.","th","the","There are no weddings.",,,,"0",,"0",,"0","Есть не свадьбах.","easter_date($year)-56",,"0","Nu se fac nunţi.",,"0","Δεν υπάρχουν γάμοι."
"11010","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)-56","easter_date($year)-49","Fast-free.","Fast-free.","fa","fas","Fast-free.",,,,"0",,"0",,"0","Нет поста.","easter_date($year)-56",,"0","Se mănâncă de dulce.",,"0","δεν νηστεία"
"11011","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)","easter_date($year)+7","Fast-free.","Fast-free.","fa","fas","Fast-free.",,,,"0",,"0",,"0","Нет поста.","easter_date($year)",,"0","Se mănâncă de dulce.",,"0","δεν νηστεία"
"11008","0000-00-00 00:00:00","0000-00-00",,,"dec25($year)","ian6($year+1)","Sunday","Fast-free.","fa","fas","Fast-free.",,,,"0",,"0",,"0","Нет поста.","dec25($year)",,"0","Se mănâncă de dulce.",,"0","δεν νηστεία"
"11009","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)-70","easter_date($year)-63","Fast-free.","Fast-free.","fa","fas","Fast-free.",,,,"0",,"0",,"0","Нет поста.","easter_date($year)-70",,"0","Se mănâncă de dulce.",,"0","δεν νηστεία"
"11007","0000-00-00 00:00:00","0000-00-00",,,"nov15($year)","dec24($year)","Sunday","The Fasting for the Nativity of Christ","th","the","The Fasting for Nativity @ Christ",,,,"0",,"0",,"0","Пост за Рождество Христово","nov15($year)",,"0","Postul Naşterii Domnului",,"0","Η νηστεία για τη Γέννηση του Χριστού"
"11005","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+58","june28($year)","Monday","The Fasting for the Holy Apostles","th","the","The Fasting for Apostles","holy",,,"0",,"0",,"0","Пост за Святых Апостолов","easter_date($year)+58",,"0","Postul Sfintilor Apostoli",,"0","Η νηστεία των Αγίων Αποστόλων"
"11006","0000-00-00 00:00:00","0000-00-00",,,"aug1($year)","aug14($year)","Sunday","The Fasting for the Assumption","th","the","The Fasting for Assumption",,,,"0",,"0",,"0","Пост за Успенском","aug1($year)",,"0","Postul Adormirii Maicii Domnului",,"0","Η νηστεία για την Κοίμηση της Θεοτόκου"
"11003","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+57","easter_date($year+1)-71",,"Octoechos","oc","oct","Octoechos",,,,"0",,"0",,"0","Октоиха","easter_date($year)+57",,"0","Octoih",,"0","Octoechos"
"11004","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)-49","easter_date($year)",,"The Fasting for the Resurrection of the Lord","th","the","The Fasting for Resurrection @ Lord",,,,"0",,"0",,"0","Пост за Воскресения Господня","easter_date($year)-49",,"0","Postul Invierii Domnului",,"0","Η νηστεία για την Ανάσταση του Κυρίου"
"10076","0000-00-00 00:00:00","0000-00-00",,,"$jan6-jddayofweek($jan6)+8",,"Sunday","Sunday after Epiphany","su","sun","after Epiphany","sunday",,,"0",,"0",,"0","Воскресенье после Крещения","$jan6-jddayofweek($jan6)+8",,"0","Duminica după Botezul Domnului",,"0","Κυριακή μετά τα Θεοφάνεια"
"11001","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)-70","easter_date($year)",,"Triode","tr","tri","Triode",,,,"0",,"0",,"0","Триод","easter_date($year)-70",,"0","Triodul",,"0","Triode"
"11002","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)","easter_date($year)+56",,"Pentecostarion","pe","pen","Pentecostarion",,,,"0",,"0",,"0","Pentecostarion","easter_date($year)",,"0","Penticostar",,"0","Pentecostarion"
"10074","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+55",,"Apodosis of the Feast of the descent of the Holy Spirit","Apodosis of the Feast of the descent of the Holy Spirit","fe","fea","the Feast @ descent @ Spirit","apodosis, holy",,,"0",,"0",,"0","Аподозис праздник сошествия Святого Духа","easter_date($year)+55",,"0","Odovania Praznicului Pogorârii Sfântului Duh",,"0","Apodosis της Εορτής της καθόδου του Αγίου Πνεύματος"
"10073","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+48",,"Friday","Apodosis of the Feast of Ascension of the Lord","fe","fea","the Feast @ Ascension @ Lord","apodosis",,,"0",,"0",,"0","Аподозис праздника Вознесения Господня","easter_date($year)+48",,"0","Odovania Praznicului Înălţarii Domnului",,"0","Apodosis της Εορτής της Αναλήψεως του Κυρίου"
"10075","0000-00-00 00:00:00","0000-00-00",,,"$jan6-jdcorrectedweekday($jan6)+1",,"Sunday before the Baptism of the Lord","Sunday before the Baptism of the Lord","su","sun","before Baptism @ Lord","sunday",,,"0",,"0",,"0","Воскресенье до Крещения Господня","$jan6-jdcorrectedweekday($jan6)+1",,"0","Duminica dinaintea Botezului Domnului",,"0","Κυριακή πριν από τη Βάπτιση του Κυρίου"
"10072","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+39",,"Wednesday","Apodosis of the Feast of the Resurrection of the Lord","fe","fea","the Feast @ Resurrection @ Lord","apodosis",,,"0",,"0",,"0","Аподозис праздника Воскресения Господня","easter_date($year)+39",,"0","Odovania Praznicului Învierii Domnului",,"0","Apodosis της Εορτής της Αναστάσεως του Κυρίου"
"10069","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+1",,"Monday","Easter","ea","eas","Easter",,,,"0",,"0",,"0","Пасхальные","easter_date($year)+1",,"0","Sfintele Pasti",,"0","Πάσχα"
"10070","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+2",,"Tuesday","Easter","ea","eas","Easter",,,,"0",,"0",,"0","Пасхальные","easter_date($year)+2",,"0","Sfintele Pasti",,"0","Πάσχα"
"10071","0000-00-00 00:00:00","0000-00-00",,,"easter_date($year)+5",,"Friday","The Healing Spring","th","the","The Healing Spring",,,,"0",,"0",,"0","Целебный источник","easter_date($year)+5",,"0","Izvorul Tamaduirii",,"0","The Healing εαρινό"
